passage_id,chapter,section,subsection,page,text
p040,Degree Requirements,Graduation,,189,Students with outstanding incomplete grades are not eligible to graduate.
p041,Degree Requirements,Graduation,,133,Diplomas are mailed to the permanent address on file approximately eight weeks after graduation. See the registrar website for current deadlines and forms.
p042,Degree Requirements,Graduation,,366,Latin honors are awarded based on the cumulative grade point average at the time of graduation.
p043,Degree Requirements,Graduation,,372,Commencement participation is permitted for students completing requirements in the subsequent summer term.
p044,Academic Integrity,Honor Code,,168,All students are bound by the university honor code from matriculation through graduation. Questions should be directed to the appropriate administrative office.
p045,Academic Integrity,Honor Code,,296,"The honor code prohibits plagiarism, cheating, fabrication, and unauthorized collaboration. See the registrar website for current deadlines and forms."
p046,Academic Integrity,Honor Code,,349,Students must sign the honor pledge on all examinations and major assignments.
p047,Academic Integrity,Honor Code,,233,Violations of the honor code are reported to the student judicial board for review. Questions should be directed to the appropriate administrative office.
p048,Academic Integrity,Honor Code,,79,The honor code applies to all academic work including laboratory reports and creative projects.
p049,Academic Integrity,Honor Code,,33,Ignorance of citation standards does not excuse plagiarism under the honor code.
p050,Academic Integrity,Sanctions,,273,Academic integrity violations may result in sanctions ranging from warning to expulsion.
p051,Academic Integrity,Sanctions,,79,First-time offenders in minor cases may receive a reduced grade and mandatory ethics workshop.
p052,Academic Integrity,Sanctions,,257,Repeated violations or egregious misconduct may result in suspension or permanent dismissal.
p053,Academic Integrity,Sanctions,,324,"The student judicial board considers intent, severity, and prior record when determining sanctions."
p054,Academic Integrity,Sanctions,,56,Appeals of academic integrity sanctions must be filed within ten business days of notification.
p055,Study Away,Programs,,154,Study away programs are available at partner institutions on six continents.
p056,Study Away,Programs,,298,Students may study away for one semester or a full academic year.
p057,Study Away,Programs,,107,All study away coursework must be pre-approved by the academic advisor and registrar.
p058,Study Away,Programs,,31,Credits earned through approved study away programs transfer as graded credit toward the degree. Questions should be directed to the appropriate administrative office.
p059,Study Away,Programs,,95,Financial aid may be applied to approved study away programs with prior authorization.
p060,Study Away,Programs,,319,Students must be in good academic standing to be eligible for study away opportunities. Additional details are available in the student handbook.
p061,Study Away,Programs,,253,Application deadlines for study away programs are typically one year before departure.
p062,Study Away,Transfer Credits,,214,Transfer credits from study away programs require official transcripts from the host institution.
p063,Study Away,Transfer Credits,,368,A maximum of sixteen transfer credits may be applied toward degree requirements.
p064,Study Away,Transfer Credits,,360,Transfer credits must be earned at accredited institutions with comparable academic standards.
p065,Study Away,Transfer Credits,,28,Courses taken pass-fail at other institutions generally do not transfer for degree credit.
p066,Study Away,Transfer Credits,,197,The registrar evaluates transfer credits for equivalency to university courses.
p067,Student Support,Advising,,214,Each student is assigned a faculty advisor upon declaration of major.
p068,Student Support,Advising,,236,"Academic advisors assist with course selection, degree planning, and career preparation."
p069,Student Support,Advising,,335,Students may request a change of advisor by submitting a petition to the dean.
p070,Student Support,Advising,,289,Pre-professional advisors provide guidance for students pursuing graduate or professional school.
p071,Student Support,Advising,,211,Peer advisors are available during orientation and registration periods.
p072,Student Support,Wellness,,200,The university provides comprehensive mental health counseling services to all enrolled students. Policies are subject to change by faculty vote.
p073,Student Support,Wellness,,365,"Wellness workshops address stress management, sleep hygiene, and mindfulness practices."
p074,Student Support,Wellness,,176,Disability support services ensure equitable access to academic programs and facilities.
p075,Student Support,Wellness,,275,Students may request accommodations by registering with the disability services office.
p076,Student Support,Wellness,,306,Emergency mental health support is available twenty-four hours through the counseling hotline.
p077,Student Support,Career Services,,115,"The career center offers resume review, interview preparation, and job search strategy sessions."
p078,Student Support,Career Services,,75,On-campus recruiting events connect students with employers from diverse industries. See the registrar website for current deadlines and forms.
p079,Student Support,Career Services,,361,Internship funding is available for students pursuing unpaid summer experiences. Questions should be directed to the appropriate administrative office.
p080,Student Support,Career Services,,356,Alumni mentorship programs pair current students with graduates in related fields.
p081,Student Support,Career Services,,174,Career assessment tools help students identify strengths and potential career pathways.
p082,Financial Information,Tuition,,77,Annual tuition is set by the board of trustees and published on the bursar website.
p083,Financial Information,Tuition,,133,Tuition payments are due in full before the start of each semester.
p084,Financial Information,Tuition,,355,Payment plans are available for families preferring to spread costs across monthly installments. Policies are subject to change by faculty vote.
p085,Financial Information,Tuition,,181,Late payment penalties accrue at a rate specified in the student financial agreement.
p086,Financial Information,Tuition,,278,Tuition refunds follow a sliding scale based on the date of official withdrawal.
p087,Financial Information,Financial Aid,,97,Need-based financial aid is determined by the institutional methodology assessment. See the registrar website for current deadlines and forms.
p088,Financial Information,Financial Aid,,182,Merit scholarships are awarded at admission and renewed based on academic performance. Policies are subject to change by faculty vote.
p089,Financial Information,Financial Aid,,327,Students receiving financial aid must maintain satisfactory academic progress.
p090,Financial Information,Financial Aid,,139,"Financial aid packages may include grants, loans, and work-study employment."
p091,Financial Information,Financial Aid,,117,Appeals for additional aid require documentation of changed financial circumstances.
p092,Financial Information,Financial Aid,,207,International students are eligible for merit-based and select need-based aid programs.
p093,Campus Life,Housing,,12,All first-year and second-year students are required to live in university housing.
p094,Campus Life,Housing,,137,Residential life staff provide programming and support for campus communities.
p095,Campus Life,Housing,,46,Housing assignments are made by the housing office based on preference forms and availability.
p096,Campus Life,Housing,,349,Room changes are permitted during designated periods with approval from residential life.
p097,Campus Life,Student Organizations,,171,Recognized student organizations receive funding and administrative support from student affairs. Policies are subject to change by faculty vote.
p098,Campus Life,Student Organizations,,223,New organizations may apply for recognition by submitting a constitution and faculty sponsor. See the registrar website for current deadlines and forms.
p099,Campus Life,Student Organizations,,355,Student government represents undergraduate interests to the administration and faculty.
p100,Academic Policies,Registration,,42,Registration holds related to academic integrity violations must be cleared before course enrollment is permitted.
p101,Degree Requirements,Graduation,,88,Students completing study away requirements in their final semester must submit transcripts before graduation clearance.
p102,Student Support,Advising,,156,Academic advisors work closely with the financial aid office to ensure students understand aid implications of course load changes.
p103,Study Away,Transfer Credits,,201,Transfer credits from study away may satisfy general education requirements with approval from the curriculum committee.
p104,Academic Integrity,Honor Code,,55,"The honor code applies to all academic work completed at the university, including courses taken during study away programs."
p105,Financial Information,Financial Aid,,245,Merit scholarship recipients who violate the honor code may face review of their financial aid standing by the scholarship committee.
p106,Campus Life,Housing,,310,Residential life staff coordinate with student support services to provide wellness programming in campus housing.
p107,Degree Requirements,Major Requirements,,95,"Capstone courses may involve collaboration with community partners, subject to the same academic integrity standards as traditional coursework."
